type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,729683,欣銓凱基18購01,TW22Z7296835,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729684,晶焱凱基19購02,TW22Z7296843,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729685,精測凱基18購01,TW22Z7296850,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729686,德微凱基18購01,TW22Z7296868,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729687,德微凱基19購01,TW22Z7296876,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729688,伍豐麥證1A購01,TW22Z7296884,2022/02/15,上櫃,,RWSCCE
上櫃認購(售)權證,729689,群聯麥證18購01,TW22Z7296892,2022/02/15,上櫃,,RWSCCE
上櫃認購(售)權證,729690,德微麥證18購01,TW22Z7296900,2022/02/15,上櫃,,RWSCCE
上櫃認購(售)權證,729691,宏觀國泰1A購01,TW22Z7296918,2022/02/17,上櫃,,RWSCCA
上櫃認購(售)權證,729692,鈺太中信18購01,TW22Z7296926,2022/02/15,上櫃,,RWSCCE
上櫃認購(售)權證,729693,德微國泰1A購01,TW22Z7296934,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729694,大江永豐18購01,TW22Z7296942,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729695,大樹永豐18購01,TW22Z7296959,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729696,威剛永豐18購02,TW22Z7296967,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729697,茂迪永豐18購01,TW22Z7296975,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729698,茂達永豐18購01,TW22Z7296983,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729699,益安永豐18購01,TW22Z7296991,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729700,晶宏永豐18購02,TW22Z7297007,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729701,閎康永豐18購01,TW22Z7297015,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729702,德微永豐18購01,TW22Z7297023,2022/02/15,上櫃,,RWSCCA
